"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"AWA-27","Awaqi","FR-23 Include citation pills in responses","Every factual response shall include at least one citation rendered as a clickable citation pill displaying document title, proclamation number, and article number. Citations shall be extracted from metadata of the retrieved chunks that contributed to the response.

Verification: Automated test parsing sample responses and asserting all contain at least one citation with the required metadata fields.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:14.596Z","2026-04-30T18:54:00.482Z",,,,,,,,"",,,,"1395fd10-02bc-4207-a3b2-17c08e96bd7e",58259,"","",
"AWA-19","Awaqi","FR-16 Generate category-aware query embeddings","The system shall convert the user query into a 1024-dimensional embedding using the multilingual-e5-large model. If the user's profile is set to a specific taxpayer category, the query embedding shall be generated with a category-specific prefix prompt to bias retrieval toward relevant regulations.

Verification: Unit test asserting query embeddings are generated in under 200 ms on target hardware.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:13.913Z","2026-04-30T18:46:39.408Z",,,,,,,,"",,,,"9534968e-ace2-44f6-9441-1359076d20da",58259,"","",
"AWA-18","Awaqi","FR-14 Detect query language automatically","Upon receiving a user query, the system shall automatically detect the language of the input using a FastText-based language identifier. Supported languages are Amharic and English. For code-switched inputs, the system shall select the dominant language for processing and log the detection as 'mixed'.

Verification: Unit test asserting correct language detection for mono-lingual and mixed-language fixture queries.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:13.882Z","2026-04-21T18:40:21.279Z",,,,,,,,"",,,,"88509fe8-c2a4-43b0-9f56-5de0bdfff0f6",58259,"","",
"AWA-16","Awaqi","FR-12 Re-index documents atomically","When a document is re-indexed due to admin override or content update, the system shall atomically delete all existing chunks and embeddings associated with that document_id before inserting the new chunks, preventing duplicate vectors.

Verification: Integration test re-indexing a document and asserting the chunk count equals the new chunk count rather than doubling.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:50.654Z","2026-04-30T18:45:56.430Z",,,,,,,,"",,,,"8f251bb5-fa7d-4be3-a191-cbc3aaa3c518",58259,"","",
"AWA-15","Awaqi","FR-11 Maintain BM25 full-text index","The system shall maintain a BM25 full-text search index over chunk text using PostgreSQL built-in full-text search infrastructure to enable hybrid retrieval.

Verification: Integration test asserting the BM25 index returns non-empty results for a known keyword query.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:50.576Z","2026-04-21T18:46:53.112Z",,,,,,,,"",,,,"d9568c83-806e-4bd0-80a8-176135d963a3",58259,"","",
"AWA-14","Awaqi","FR-10 Store multilingual-e5-large embeddings","The system shall generate 1024-dimensional vector embeddings for each chunk using the multilingual-e5-large model. Embeddings shall be stored in PostgreSQL pgvector using cosine distance.

Verification: Integration test asserting embedding dimension is 1024 for sample chunks.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:50.463Z","2026-04-21T18:47:01.607Z",,,,,,,,"",,,,"1b6a38be-c005-4246-b80d-36ff6028f872",58259,"","",
"AWA-13","Awaqi","FR-09 Store chunk metadata fields","Each chunk shall be stored with metadata including document_id, chunk_id, source_url, document_title, proclamation_number if applicable, article_number if applicable, effective_date, language, and created_at timestamp.

Verification: Database schema validation asserting all metadata columns are non-null for a representative set of indexed chunks.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:50.332Z","2026-04-30T18:45:16.732Z",,,,,,,,"",,,,"762cd230-e945-4d79-a6bd-75c59a938530",58259,"","",
"AWA-12","Awaqi","FR-08 Chunk documents with overlap","The system shall segment extracted document text into chunks of 512–1024 tokens using a sentence-boundary-aware sliding window with a 10% token overlap between consecutive chunks. The overlap preserves semantic continuity across chunk boundaries.

Verification: Unit test asserting no chunk exceeds 1024 tokens and each consecutive chunk pair shares at least 50 tokens.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.919Z","2026-04-30T18:44:08.517Z",,,,,,,,"",,,,"24d2927f-31df-44e2-bd36-85024a229f6b",58259,"","",
"AWA-10","Awaqi","FR-04 Preserve Amharic Unicode end-to-end","The system shall correctly extract and preserve Amharic Unicode (Ethiopic script, Unicode block U+1200–U+137F) from all document types. Characters must survive the full pipeline from extraction through chunking to response display without corruption.

Verification: Round-trip Unicode integrity test using a fixture document containing known Amharic strings.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.334Z","2026-04-30T18:43:47.758Z",,,,,,,,"",,,,"a88d90e5-ebef-4263-8fd9-e0689f9abd15",58259,"","",
"AWA-7","Awaqi","FR-02 Prevent redundant document downloads","The scraper shall compute a SHA-256 hash of each discovered document URL and file size. A document shall be downloaded only if its hash is not present in the Document Registry table, preventing redundant re-downloads.

Verification: Integration test running the scraper twice in succession and asserting the second run downloads zero new files.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.285Z","2026-04-30T18:41:16.788Z",,,,,,,,"",,,,"ba63aac1-8b05-4c79-9b27-552f605701d9",58259,"","",
